ínàÊÉRÅ[Éh,ínàÊéØï ÉRÅ[Éh,,êlå˚Å@ïΩê¨27îN,êlå˚Å@ïΩê¨22îNÅiëgë÷Åj,ïΩê¨22îNÅ`27îNÇÃêlå˚ëùå∏êî,ïΩê¨22îNÅ`27îNÇÃêlå˚ëùå∏ó¶ÅiÅìÅj,ñ êœÅikm2Åj 1),êlå˚ñßìxÅi1km2ìñÇΩÇËÅj 2),ê¢ë—êîÅ@ïΩê¨27îN,ê¢ë—êîÅ@ïΩê¨22îNÅiëgë÷Åj,ïΩê¨22îNÅ`27îNÇÃê¢ë—ëùå∏êî,ïΩê¨22îNÅ`27îNÇÃê¢ë—ëùå∏ó¶ÅiÅìÅj
7545,3,ëÂåFí¨,0,11515,-11515,-100,78.71,0,0,3955,-3955,-100
7546,3,ëoótí¨,0,6932,-6932,-100,51.42,0,0,2393,-2393,-100
7547,3,òQç]í¨,0,20905,-20905,-100,223.14,0,0,7176,-7176,-100
7548,3,äãîˆë∫,18,1531,-1513,-98.82429784,84.37,0.2,9,470,-461,-98.08510638
7560,c,ëäînåS,8261,14433,-6172,-42.76311231,276.67,29.9,2694,4195,-1501,-35.7806913
7561,3,êVíní¨,8220,8224,-4,-0.048638132,46.53,176.7,2693,2461,232,9.42706217
7564,3,î—ä⁄ë∫,41,6209,-6168,-99.33966822,230.13,0.2,1,1734,-1733,-99.94232987
8000,a,àÔèÈåß,2917857,2969770,-51913,-1.748047829,6096.93,478.6,1123802,1088411,35391,3.251620941
8001,b,ésïî,2648189,2686813,-38624,-1.437539568,5090.18,520.3,1025872,990793,35079,3.540497359
8002,b,åSïî,269668,282957,-13289,-4.696473316,1006.76,267.9,97930,97618,312,0.319613186
8201,2,êÖåÀés,270823,268750,2073,0.771348837,217.32,1246.2,117564,112099,5465,4.875154997
8202,2,ì˙óßés,185149,193129,-7980,-4.131953254,225.71,820.3,78653,77965,688,0.882447252
8203,2,ìyâYés,140948,143839,-2891,-2.009886053,122.89,1146.9,57232,56663,569,1.004182624
8204,2,å√âÕés,140975,142995,-2020,-1.412636806,123.58,1140.8,52511,50465,2046,4.054295056
8205,2,êŒâ™és,76030,79687,-3657,-4.589205266,215.53,352.8,27275,27094,181,0.668044586
8207,2,åãèÈés,51605,52494,-889,-1.693526879,65.76,784.7,18228,17466,762,4.362761938
8208,2,ó¥ÉPçËés,78368,80334,-1966,-2.447282595,78.55,997.7,30445,30092,353,1.173069254
8210,2,â∫ç»és,43334,44987,-1653,-3.674394825,80.88,535.8,15025,14890,135,0.906648758
8211,2,èÌëçés,61460,65320,-3860,-5.909369259,123.64,497.1,20552,20685,-133,-0.642978003
8212,2,èÌó§ëæìcés,52326,56250,-3924,-6.976,371.99,140.7,19434,19801,-367,-1.853441745
8214,2,çÇîãés,29656,31017,-1361,-4.387916304,193.58,153.2,11716,11661,55,0.471657662
8215,2,ñkàÔèÈés,44443,47026,-2583,-5.492706163,186.8,237.9,16858,16966,-108,-0.636567252
8216,2,ä}ä‘és,76766,79409,-2643,-3.328338098,240.4,319.3,28178,27946,232,0.830172476
8217,2,éÊéËés,106564,109651,-3087,-2.815295802,69.94,1523.6,43458,42614,844,1.980569766
8219,2,ãçãvés,84454,81684,2770,3.391116987,58.92,1433.4,33270,31569,1701,5.388197282
8220,2,Ç¬Ç≠ÇŒés,227029,214590,12439,5.796635444,283.72,800.2,98138,87477,10661,12.18720349
8221,2,Ç–ÇΩÇøÇ»Ç©és,155680,157060,-1380,-0.878645104,99.83,1559.5,61196,60268,928,1.539788943
8222,2,é≠ìàés,67885,66093,1792,2.711331003,106.02,640.3,27451,25199,2252,8.936862574
8223,2,í™óàés,29105,30534,-1429,-4.68002882,71.4,407.6,10542,10384,158,1.521571649
8224,2,éÁíJés,64763,62482,2281,3.650651388,35.71,1813.6,24844,22854,1990,8.707447274
8225,2,èÌó§ëÂã{és,42587,45178,-2591,-5.735092302,348.45,122.2,16011,16087,-76,-0.472431156
8226,2,ìﬂâœés,54270,54240,30,0.055309735,97.82,554.8,20009,18889,1120,5.929376886
8227,2,í}êºés,104617,108527,-3910,-3.602790089,205.3,509.6,35666,35188,478,1.358417642
8228,2,ç‚ìåés,54073,56114,-2041,-3.637238479,123.03,439.5,17280,16763,517,3.084173477
8229,2,àÓï~és,42769,46895,-4126,-8.798379358,205.81,207.8,14427,14809,-382,-2.579512459
8230,2,Ç©Ç∑Ç›Ç™Ç§ÇÁés,42143,43553,-1410,-3.23743485,156.6,269.1,15113,14730,383,2.600135777
8231,2,ç˜êÏés,42651,45673,-3022,-6.616600617,180.06,236.9,13615,13632,-17,-0.124706573
8232,2,ê_ê≤és,94582,94795,-213,-0.224695395,146.94,643.7,37003,35901,1102,3.06955238
8233,2,çsï˚és,34915,37611,-2696,-7.168115711,222.48,156.9,11104,11346,-242,-2.132910277
8234,2,ñgìcés,48156,50156,-2000,-3.987558817,207.61,232,17374,16810,564,3.355145747
8235,2,Ç¬Ç≠ÇŒÇ›ÇÁÇ¢és,49146,44461,4685,10.53732485,79.16,620.8,18148,15273,2875,18.82406862
8236,2,è¨î¸ã és,50917,52279,-1362,-2.605252587,144.74,351.8,17552,17207,345,2.004997966
8300,c,ìåàÔèÈåS,69625,74332,-4707,-6.332400581,307.12,226.7,25077,25350,-273,-1.076923077
8302,3,àÔèÈí¨,32930,34513,-1583,-4.586677484,121.58,270.9,11354,11187,167,1.492804148
8309,3,ëÂêÙí¨,16891,18328,-1437,-7.84046268,23.74,711.5,6656,7021,-365,-5.198689645
8310,3,èÈó¢í¨,19804,21491,-1687,-7.84979759,161.8,122.4,7067,7142,-75,-1.050126015
8340,c,ìﬂâœåS,37716,37438,278,0.742561034,37.98,993,14476,14113,363,2.572096649
8341,3,ìåäCë∫,37716,37438,278,0.742561034,37.98,993,14476,14113,363,2.572096649
8360,c,ãvéúåS,18144,20073,-1929,-9.609923778,325.76,55.7,6734,7140,-406,-5.68627451
8364,3,ëÂéqí¨,18144,20073,-1929,-9.609923778,325.76,55.7,6734,7140,-406,-5.68627451
8440,c,àÓï~åS,72570,75411,-2841,-3.767354895,182.3,398.1,27741,27278,463,1.697338515
8442,3,î¸âYë∫,15851,17299,-1448,-8.370426036,66.61,238,5975,6305,-330,-5.233941316
8443,3,à¢å©í¨,47545,47940,-395,-0.8239466,71.4,665.9,18820,17969,851,4.735934109
8447,3,âÕì‡í¨,9174,10172,-998,-9.811246559,44.3,207.1,2946,3004,-58,-1.930758988
8520,c,åãèÈåS,22008,23106,-1098,-4.752012464,58.99,373.1,6814,6756,58,0.858496152
8521,3,î™êÁë„í¨,22008,23106,-1098,-4.752012464,58.99,373.1,6814,6756,58,0.858496152
8540,c,âéìáåS,33304,35124,-1820,-5.181642182,69.7,477.8,10958,10850,108,0.995391705
8542,3,å‹â‡í¨,8784,9410,-626,-6.652497343,23.11,380.1,2890,2927,-37,-1.264092928
8546,3,ã´í¨,24520,25714,-1194,-4.643384927,46.59,526.3,8068,7923,145,1.830114856
8560,c,ñkëäînåS,16301,17473,-1172,-6.707491558,24.9,654.7,6130,6131,-1,-0.016310553
8564,3,óòç™í¨,16301,17473,-1172,-6.707491558,24.9,654.7,6130,6131,-1,-0.016310553
9000,a,ì»ñÿåß,1974671,2007683,-33012,-1.644283485,6408.09,308.2,762535,745604,16931,2.270776444
9001,b,ésïî,1731913,1755040,-23127,-1.317747744,5053.84,342.7,675973,660748,15225,2.304206748
9002,b,åSïî,242758,252643,-9885,-3.912635616,1354.25,179.3,86562,84856,1706,2.010464787
9201,2,âFìsã{és,518761,511739,7022,1.372183867,416.85,1244.5,217372,210482,6890,3.273439059
9202,2,ë´óòés,149504,154530,-5026,-3.252442891,177.76,841,60111,59134,977,1.652179795
9203,2,ì»ñÿés,159267,164024,-4757,-2.900185339,331.5,480.4,57745,56489,1256,2.223441732
9204,2,ç≤ñÏés,118919,121249,-2330,-1.921665333,356.04,334,46330,45178,1152,2.549913675
9205,2,é≠è¿és,98384,102348,-3964,-3.873060539,490.64,200.5,35060,34999,61,0.174290694
9206,2,ì˙åıés,83446,90066,-6620,-7.350165434,1449.83,57.6,32654,33926,-1272,-3.749336792
9208,2,è¨éRés,166795,164454,2341,1.423498364,171.76,971.1,65727,62844,2883,4.587550124
9209,2,ê^â™és,79579,82289,-2710,-3.293271276,167.34,475.6,27934,27577,357,1.294557058
9210,2,ëÂìcå¥és,75480,77729,-2249,-2.893385995,354.36,213,28743,28075,668,2.379341051
9211,2,ñÓî¬és,33362,35343,-1981,-5.605070311,170.46,195.7,12275,12438,-163,-1.31050008
9213,2,ìﬂê{âñå¥és,117044,117812,-768,-0.651886056,592.74,197.5,45563,44602,961,2.154611901
9214,2,Ç≥Ç≠ÇÁés,44916,44768,148,0.330593281,125.63,357.5,15630,14917,713,4.779781457
9215,2,ìﬂê{âGéRés,27012,29206,-2194,-7.512155037,174.35,154.9,9480,9586,-106,-1.105779261
9216,2,â∫ñÏés,59444,59483,-39,-0.065564951,74.59,796.9,21349,20501,848,4.136383591
9300,c,âÕì‡åS,31055,31621,-566,-1.789949717,54.39,571,10737,10390,347,3.339749759
9301,3,è„éOêÏí¨,31055,31621,-566,-1.789949717,54.39,571,10737,10390,347,3.339749759
9340,c,ñFâÍåS,63412,67490,-4078,-6.042376648,396.5,159.9,21430,21525,-95,-0.441347271
9342,3,âvéqí¨,23299,24348,-1049,-4.308362083,89.4,260.6,7785,7801,-16,-0.20510191
9343,3,ñŒñÿí¨,13188,15018,-1830,-12.18537755,172.69,76.4,4569,4799,-230,-4.792665139
9344,3,ésäLí¨,11724,12094,-370,-3.059368282,64.25,182.5,4102,4018,84,2.090592335
9345,3,ñFâÍí¨,15201,16030,-829,-5.171553338,70.16,216.7,4974,4907,67,1.365396373
9360,c,â∫ìsâÍåS,65254,65325,-71,-0.108687333,91.32,714.6,24782,23336,1446,6.196434693
9361,3,êpê∂í¨,39944,39605,339,0.855952531,61.06,654.2,15216,14214,1002,7.049387927
9364,3,ñÏñÿí¨,25310,25720,-410,-1.594090202,30.26,836.4,9566,9122,444,4.867353651
9380,c,âñíJåS,41152,42996,-1844,-4.288771049,246.92,166.7,15199,15029,170,1.13114645
9384,3,âñíJí¨,11496,12560,-1064,-8.47133758,176.06,65.3,3687,3828,-141,-3.68338558
9386,3,çÇç™ëÚí¨,29656,30436,-780,-2.562754633,70.87,418.5,11512,11201,311,2.776537809
9400,c,ìﬂê{åS,41885,45211,-3326,-7.356616753,565.12,74.1,14414,14576,-162,-1.111416026
9407,3,ìﬂê{í¨,24922,26765,-1843,-6.885858397,372.34,66.9,8583,8699,-116,-1.333486608
9411,3,ìﬂâœêÏí¨,16963,18446,-1483,-8.0396834,192.78,88,5831,5877,-46,-0.782712268
10000,a,åQînåß,1973476,2008068,-34592,-1.722650827,6362.28,310.2,773186,755756,17430,2.306299917
10001,b,ésïî,1679197,1703207,-24010,-1.409693596,2892.74,580.5,661341,646224,15117,2.339281735
10002,b,åSïî,294279,304861,-10582,-3.471090103,3469.55,84.8,111845,109532,2313,2.111711646
10201,2,ëOã¥és,336199,340291,-4092,-1.202500213,311.59,1079,136747,133322,3425,2.568968362
10202,2,çÇçËés,370751,371302,-551,-0.148396723,459.16,807.5,150464,147116,3348,2.275755186
10203,2,ãÀê∂és,114760,121704,-6944,-5.705646487,274.45,418.1,46021,46688,-667,-1.428632625
10204,2,à…ê®çËés,208838,207221,1617,0.780326318,139.44,1497.7,79852,76527,3325,4.344871745
10205,2,ëæìcés,219896,216465,3431,1.585013744,175.54,1252.7,86134,81437,4697,5.767648612
10206,2,è¿ìcés,48697,51265,-2568,-5.009265581,443.46,109.8,19106,19148,-42,-0.219344057
10207,2,äŸó—és,76676,78608,-1932,-2.457765113,60.97,1257.6,30205,29581,624,2.109462155
10208,2,èaêÏés,78426,83330,-4904,-5.885035401,240.27,326.4,28808,29290,-482,-1.645612837
10209,2,ì°â™és,65723,67975,-2252,-3.312982714,180.29,364.5,24549,24298,251,1.033006832
10210,2,ïxâ™és,49760,52070,-2310,-4.436335702,122.85,405,18252,18297,-45,-0.245941958
10211,2,à¿íÜés,58529,61077,-2548,-4.171783159,276.31,211.8,22377,22184,193,0.869996394
10212,2,Ç›Ç«ÇËés,50942,51899,-957,-1.843966165,208.42,244.4,18826,18336,490,2.672338569
10340,c,ñkåQînåS,35424,34171,1253,3.666852009,48.38,732.2,12167,11164,1003,8.984235041
10344,3,êYìåë∫,14338,14370,-32,-0.222686152,27.92,513.5,4883,4634,249,5.373327579
10345,3,ãgâ™í¨,21086,19801,1285,6.489571234,20.46,1030.6,7284,6530,754,11.5467075
10360,c,ëΩñÏåS,3184,3658,-474,-12.95790049,296.44,10.7,1480,1650,-170,-10.3030303
10366,3,è„ñÏë∫,1228,1306,-78,-5.972434916,181.85,6.8,577,612,-35,-5.718954248
10367,3,ê_ó¨í¨,1956,2352,-396,-16.83673469,114.6,17.1,903,1038,-135,-13.00578035
10380,c,ä√äyåS,22823,24952,-2129,-8.532382174,365.81,62.4,8532,8851,-319,-3.60411253
10382,3,â∫êmìcí¨,7633,8911,-1278,-14.34182471,188.38,40.5,3040,3316,-276,-8.323281062
10383,3,ìÏñqë∫,1980,2423,-443,-18.2831201,118.83,16.7,953,1088,-135,-12.40808824
10384,3,ä√äyí¨,13210,13618,-408,-2.99603466,58.61,225.4,4539,4447,92,2.068810434
10420,c,å·ç»åS,56413,61109,-4696,-7.684629105,1278.55,44.1,22022,22726,-704,-3.097773475
10421,3,íÜîVèí¨,16842,18216,-1374,-7.542819499,439.28,38.3,6516,6608,-92,-1.392251816
10424,3,í∑ñÏå¥í¨,5477,6017,-540,-8.974572046,133.85,40.9,2183,2295,-112,-4.880174292
10425,3,í⁄óˆë∫,9787,10183,-396,-3.888834332,337.58,29,3659,3651,8,0.21911805
10426,3,ëêí√í¨,6512,7160,-648,-9.05027933,49.75,130.9,3244,3474,-230,-6.620610248
10428,3,çÇéRë∫,3679,3911,-232,-5.931986704,64.18,57.3,1167,1179,-12,-1.017811705
10429,3,ìåå·ç»í¨,14116,15622,-1506,-9.640250928,253.91,55.6,5253,5519,-266,-4.819713716
10440,c,óòç™åS,34749,37767,-3018,-7.991103344,1322.23,26.3,12631,12944,-313,-2.418108776
10443,3,ï–ïië∫,4390,4904,-514,-10.4812398,391.76,11.2,1558,1677,-119,-7.09600477
10444,3,êÏèÍë∫,3648,3898,-250,-6.413545408,85.25,42.8,997,974,23,2.361396304
10448,3,è∫òaë∫,7355,7620,-265,-3.477690289,64.14,114.7,2474,2429,45,1.852614245
10449,3,Ç›Ç»Ç©Ç›í¨,19356,21345,-1989,-9.318341532,781.08,24.8,7602,7864,-262,-3.331637843
10460,c,ç≤îgåS,36653,37536,-883,-2.352408355,25.78,1421.8,14266,13857,409,2.95157682
10464,3,ã ë∫í¨,36653,37536,-883,-2.352408355,25.78,1421.8,14266,13857,409,2.95157682
10520,c,óWäyåS,105033,105668,-635,-0.600938789,132.36,793.5,40747,38340,2407,6.278038602
10521,3,î¬ëqí¨,15024,15706,-682,-4.342289571,41.86,358.9,5355,5129,226,4.406317021
10522,3,ñæòaí¨,11042,11209,-167,-1.489874208,19.64,562.2,3904,3696,208,5.627705628
10523,3,êÁë„ìcí¨,11331,11473,-142,-1.237688486,21.73,521.4,3937,3719,218,5.861790804
10524,3,ëÂêÚí¨,41213,40257,956,2.374742281,18.03,2285.8,18021,16600,1421,8.560240964
10525,3,óWäyí¨,26423,27023,-600,-2.220330829,31.11,849.3,9530,9196,334,3.632013919
11000,a,çÈã åß,7261271,7194556,66715,0.927298363,3797.75,1912,2968978,2841595,127383,4.482799273
11001,b,ésïî,6755544,6672510,83034,1.244419267,2823.05,2393,2779535,2656286,123249,4.639899469
11002,b,åSïî,505727,522046,-16319,-3.125969742,974.7,518.9,189443,185309,4134,2.230868441
11100,1,Ç≥Ç¢ÇΩÇ‹és,1264253,1222434,41819,3.420961786,217.43,5814.5,533427,503126,30301,6.022547036
11101,0,Ç≥Ç¢ÇΩÇ‹és êºãÊ,87156,84029,3127,3.721334301,29.12,2993,33914,31406,2508,7.98573521
11102,0,Ç≥Ç¢ÇΩÇ‹és ñkãÊ,143628,138630,4998,3.605280242,16.86,8518.9,61753,58382,3371,5.774039944
11103,0,Ç≥Ç¢ÇΩÇ‹és ëÂã{ãÊ,113794,108488,5306,4.890863506,12.8,8890.2,53218,48475,4743,9.784424961
11104,0,Ç≥Ç¢ÇΩÇ‹és å©è¿ãÊ,162013,157143,4870,3.099088092,30.69,5279,65661,61585,4076,6.618494763
11105,0,Ç≥Ç¢ÇΩÇ‹és íÜâõãÊ,98750,96055,2695,2.805684243,8.39,11770,42838,41153,1685,4.094476709
11106,0,Ç≥Ç¢ÇΩÇ‹és ç˜ãÊ,97943,96911,1032,1.064894594,18.64,5254.5,43472,42442,1030,2.426841336
11107,0,Ç≥Ç¢ÇΩÇ‹és âYòaãÊ,154393,144786,9607,6.635310044,11.51,13413.8,67100,61994,5106,8.23628093
11108,0,Ç≥Ç¢ÇΩÇ‹és ìÏãÊ,180180,174988,5192,2.967060598,13.82,13037.6,77790,74885,2905,3.879281565
11109,0,Ç≥Ç¢ÇΩÇ‹és óŒãÊ,116562,110118,6444,5.851904321,26.44,4408.5,44460,40862,3598,8.805246929
11110,0,Ç≥Ç¢ÇΩÇ‹és ä‚íŒãÊ,109834,111286,-1452,-1.304746329,49.17,2233.8,43221,41942,1279,3.049449239
11201,2,êÏâzés,350327,342670,7657,2.234511337,109.13,3210.2,145690,137121,8569,6.249225137
11202,2,åFíJés,198639,203180,-4541,-2.234964071,159.82,1242.9,77079,75413,1666,2.209168181
11203,2,êÏå˚és,578245,561506,16739,2.98109014,61.95,9334.1,245482,234124,11358,4.851275393
11206,2,çsìcés,82142,85786,-3644,-4.247779358,67.49,1217.1,30995,30630,365,1.191642181
11207,2,íÅïÉés,63545,66955,-3410,-5.092972892,577.83,110,24039,24146,-107,-0.44313758
11208,2,èäëÚés,335875,341924,-6049,-1.769106585,72.11,4657.8,144970,141225,3745,2.651796778
11209,2,î—î\és,80735,83549,-2814,-3.3680834,193.05,418.2,31744,30905,839,2.714771073
11210,2,â¡ê{és,112302,115002,-2700,-2.347785256,133.3,842.5,40735,39460,1275,3.231120122
11211,2,ñ{èØés,77885,81889,-4004,-4.889545604,89.69,868.4,30945,32217,-1272,-3.948226092
11212,2,ìåèºéRés,91445,90099,1346,1.493912252,65.35,1399.3,37240,34945,2295,6.567463156
11214,2,ètì˙ïîés,232372,237171,-4799,-2.023434568,66,3520.8,94399,91531,2868,3.133364652
11215,2,ã∑éRés,152393,155727,-3334,-2.140926108,48.99,3110.7,61983,61039,944,1.546552204
11216,2,âHê∂és,54984,56204,-1220,-2.17066401,58.64,937.7,20430,19473,957,4.914496996
11217,2,çÉëÉés,118122,119639,-1517,-1.267981177,67.44,1751.5,45009,43379,1630,3.757578552
11218,2,ê[íJés,143833,144618,-785,-0.542809332,138.37,1039.5,53343,50859,2484,4.884091311
11219,2,è„îˆés,225186,223926,1260,0.562685887,45.51,4948.1,91270,87286,3984,4.564305845
11221,2,ëêâ¡és,247076,243855,3221,1.320866909,27.46,8997.7,106072,102479,3593,3.506084173
11222,2,âzíJés,337562,326313,11249,3.447303662,60.24,5603.6,136528,128342,8186,6.378270558
11223,2,ònés,72240,71502,738,1.032138961,5.11,14137,33979,33112,867,2.618386084
11224,2,åÀìcés,136083,123079,13004,10.56557171,18.19,7481.2,59314,54495,4819,8.843013121
11225,2,ì¸ä‘és,148438,149872,-1434,-0.956816483,44.69,3321.5,58965,56843,2122,3.733089387
11227,2,í©â‡és,136041,129691,6350,4.896253402,18.34,7417.7,59510,56790,2720,4.78957563
11228,2,éuñÿés,72656,69611,3045,4.374308658,9.05,8028.3,30597,28433,2164,7.610874688
11229,2,òaåıés,80754,80745,9,0.011146201,11.04,7314.7,36847,37385,-538,-1.439079845
11230,2,êVç¿és,162181,158777,3404,2.143887339,22.78,7119.4,67153,64436,2717,4.216587001
11231,2,â±êÏés,73932,74711,-779,-1.042684478,25.35,2916.4,28521,28047,474,1.690020323
11232,2,ãväÏés,151904,154310,-2406,-1.559199015,82.41,1843.3,59420,57238,2182,3.812152766
11233,2,ñkñ{és,67414,68888,-1474,-2.139705029,19.82,3401.3,26823,25856,967,3.739944307
11234,2,î™í™és,86670,82977,3693,4.450630898,18.02,4809.7,35860,32467,3393,10.45061139
11235,2,ïxémå©és,108104,106736,1368,1.281666917,19.77,5468.1,47163,44642,2521,5.647148425
11237,2,éOãΩés,136528,131415,5113,3.890727847,30.13,4531.3,55179,51132,4047,7.91480873
11238,2,ò@ìcés,62387,63309,-922,-1.456349018,27.28,2286.9,24503,23445,1058,4.512689273
11239,2,ç‚åÀés,101648,101700,-52,-0.051130777,41.02,2478,42728,41508,1220,2.939192445
11240,2,çKéËés,52535,54012,-1477,-2.734577501,33.93,1548.3,20558,19904,654,3.285771704
11241,2,íﬂÉñìáés,70267,69990,277,0.395770824,17.65,3981.1,28627,27746,881,3.175232466
11242,2,ì˙çÇés,56521,57473,-952,-1.656429976,47.48,1190.4,21998,21227,771,3.63216658
11243,2,ãgêÏés,69759,65298,4461,6.83175595,31.66,2203.4,25681,23248,2433,10.46541638
11245,2,Ç”Ç∂Ç›ñÏés,111011,105695,5316,5.029566205,14.64,7582.7,45583,42763,2820,6.594485887
11246,2,îíâ™és,51550,50272,1278,2.542170592,24.92,2068.6,19146,17869,1277,7.146454754
11300,c,ñkë´óßåS,44434,42494,1940,4.565350402,14.79,3004.3,16683,15504,1179,7.604489164
11301,3,à…ìﬁí¨,44434,42494,1940,4.565350402,14.79,3004.3,16683,15504,1179,7.604489164
11320,c,ì¸ä‘åS,87439,90297,-2858,-3.16511069,89.79,973.8,34497,34150,347,1.016105417
11324,3,éOñFí¨,38459,38706,-247,-0.638143957,15.33,2508.7,14353,13940,413,2.962697274
11326,3,ñ—òCéRí¨,37289,39054,-1765,-4.519383418,34.07,1094.5,15595,15644,-49,-0.313219126
11327,3,âzê∂í¨,11691,12537,-846,-6.748025844,40.39,289.5,4549,4566,-17,-0.372317127
11340,c,î‰äÈåS,133901,140072,-6171,-4.40559141,281.86,475.1,49120,48071,1049,2.182188846
11341,3,ääêÏí¨,18211,17323,888,5.126132887,29.68,613.6,6712,6186,526,8.503071452
11342,3,óíéRí¨,18346,18887,-541,-2.864404088,29.92,613.2,6987,6708,279,4.15921288
11343,3,è¨êÏí¨,31193,32913,-1720,-5.225898581,60.36,516.8,11998,11645,353,3.031343924
11346,3,êÏìáí¨,20669,22147,-1478,-6.673590103,41.63,496.5,7113,7112,1,0.014060742
11347,3,ãgå©í¨,19635,21079,-1444,-6.850419849,38.64,508.2,6817,6804,13,0.19106408
11348,3,îµéRí¨,14347,15305,-958,-6.259392355,25.73,557.6,5310,5335,-25,-0.468603561
11349,3,Ç∆Ç´Ç™ÇÌí¨,11500,12418,-918,-7.392494766,55.9,205.7,4183,4281,-98,-2.28918477
11360,c,íÅïÉåS,41020,44619,-3599,-8.066070508,351.84,116.6,14800,15131,-331,-2.187561959
11361,3,â°ê£í¨,8520,9039,-519,-5.741785596,49.36,172.6,3060,3078,-18,-0.584795322
11362,3,äFñÏí¨,10128,10888,-760,-6.980161646,63.74,158.9,3657,3762,-105,-2.791068581
11363,3,í∑ì“í¨,7326,7908,-582,-7.359635812,30.43,240.7,2644,2713,-69,-2.543309989
11365,3,è¨é≠ñÏí¨,12105,13436,-1331,-9.90622209,171.26,70.7,4407,4503,-96,-2.131912059
11369,3,ìåíÅïÉë∫,2941,3348,-407,-12.15651135,37.06,79.4,1032,1075,-43,-4
11380,c,éôã åS,55399,57073,-1674,-2.933085697,109.99,503.7,19789,19438,351,1.805741331
11381,3,î¸ó¢í¨,11211,11605,-394,-3.395088324,33.41,335.6,3577,3550,27,0.76056338
11383,3,ê_êÏí¨,13704,14470,-766,-5.293711127,47.4,289.1,5026,5001,25,0.49990002
11385,3,è„ó¢í¨,30484,30998,-514,-1.658171495,29.18,1044.7,11186,10887,299,2.746394783
11400,c,ëÂó¢åS,34092,35774,-1682,-4.701738693,64.25,530.6,12922,12694,228,1.796124153
11408,3,äÒãèí¨,34092,35774,-1682,-4.701738693,64.25,530.6,12922,12694,228,1.796124153
11440,c,ìÏçÈã åS,33859,33641,218,0.648018787,15.95,2122.8,13782,13190,592,4.488248673
11442,3,ã{ë„í¨,33859,33641,218,0.648018787,15.95,2122.8,13782,13190,592,4.488248673
11460,c,ñkäãè¸åS,75583,78076,-2493,-3.193042676,46.23,1634.9,27850,27131,719,2.650105046
11464,3,êôåÀí¨,45521,46923,-1402,-2.987873751,30.03,1515.9,17232,16704,528,3.16091954
11465,3,èºïöí¨,30062,31153,-1091,-3.502070427,16.2,1855.7,10618,10427,191,1.831782871
12000,a,êÁótåß,6224027,6216289,7738,0.124479412,5157.64,1206.8,2607079,2515904,91175,3.623945906
12001,b,ésïî,6013794,5993522,20272,0.338231844,4405.57,1365,2529114,2438392,90722,3.720566669
12002,b,åSïî,210233,222767,-12534,-5.626506619,752.07,279.5,77965,77512,453,0.584425637
12100,1,êÁótés,972639,961749,10890,1.132312069,271.76,3579,417640,406309,11331,2.788764216
12101,0,êÁótés íÜâõãÊ,205187,199364,5823,2.920788106,44.69,4591.3,95248,93614,1634,1.745465422
12102,0,êÁótés â‘å©êÏãÊ,179286,180949,-1663,-0.919043487,34.19,5243.8,77544,76051,1493,1.963156303
12103,0,êÁótés àÓñ—ãÊ,161162,157768,3394,2.151260078,21.22,7594.8,71072,68503,2569,3.750200721
12104,0,êÁótés é·ótãÊ,151306,151585,-279,-0.184055151,84.21,1796.8,63054,61484,1570,2.553509856
12105,0,êÁótés óŒãÊ,126931,121921,5010,4.109218264,66.25,1915.9,46760,44004,2756,6.263066994
12106,0,êÁótés î¸ïlãÊ,148767,150162,-1395,-0.928996684,21.2,7017.3,63962,62653,1309,2.089285429
12202,2,í∂éqés,64431,70210,-5779,-8.231021222,84.19,765.3,26131,27035,-904,-3.343813575
12203,2,ésêÏés,481492,473919,7573,1.597952393,57.45,8381.1,228684,220582,8102,3.67301049
12204,2,ëDã¥és,622823,609040,13783,2.263069749,85.62,7274.3,271786,261415,10371,3.967255131
12205,2,äŸéRés,47488,49290,-1802,-3.655913979,110.15,431.1,20143,20232,-89,-0.439897193
12206,2,ñÿçXí√és,134175,129312,4863,3.760671863,138.94,965.7,54843,50042,4801,9.59394109
12207,2,èºåÀés,483238,484457,-1219,-0.251621919,61.38,7872.9,215464,209570,5894,2.812425443
12208,2,ñÏìcés,153609,155491,-1882,-1.210359442,103.55,1483.4,59654,58050,1604,2.763135228
12210,2,ñŒå¥és,89730,93015,-3285,-3.531688437,99.92,898,36023,35936,87,0.242097061
12211,2,ê¨ìcés,131230,128933,2297,1.781545454,213.84,613.7,55421,52894,2527,4.777479487
12212,2,ç≤ëqés,172789,172183,606,0.351951122,103.69,1666.4,69041,65035,4006,6.159760129
12213,2,ìåã‡és,60671,61751,-1080,-1.748959531,89.12,680.8,25094,24378,716,2.937074411
12215,2,àÆés,66601,69058,-2457,-3.557878884,130.45,510.5,23318,23157,161,0.695254135
12216,2,èKéuñÏés,168033,164530,3503,2.129094998,20.97,8013,72213,70132,2081,2.967261735
12217,2,îêés,414054,404012,10042,2.485569736,114.74,3608.6,175479,162287,13192,8.128808839
12218,2,èüâYés,19258,20788,-1530,-7.360015394,93.96,205,8980,9179,-199,-2.167992156
12219,2,éså¥és,274558,280416,-5858,-2.089039142,368.17,745.7,113664,111973,1691,1.510185491
12220,2,ó¨éRés,174417,163984,10433,6.362206069,35.32,4938.2,70733,64921,5812,8.952419094
12221,2,î™êÁë„és,193219,189781,3438,1.811561748,51.39,3759.9,78206,74824,3382,4.519940126
